"governor.position","governor.word","governor.tag","governor.category","governors.parent.category","conjunction.word","conjunction.tag","coordination.category","coordinations.parent.category","antecedent.category","no.conjuncts","L.conjunct","L.category","L.head.word","L.head.tag","L.head.category","L.words","L.tokens","L.syllables","L.chars","R.conjunct","R.category","R.head.word","R.head.tag","R.head.category","R.words","R.tokens","R.syllables","R.chars","sentence","sent_id","double.governor"
"L","powiedzieć","inf:perf","formaczas","fwe",",","interp","zdanie","fw","fwe",2,"jakkolwiek się zmienia","zdanie","zmienia","fin:sg:ter:imperf","formaczas",3,3,6,22,"pozostaje zawsze ta sama","zdanie","pozostaje","fin:sg:ter:imperf","formaczas",4,4,9,24,"I o tej prawdzie można powiedzieć: jakkolwiek się zmienia, pozostaje zawsze ta sama.","NKJP_1M_3102000000106/morph_4-p/morph_4.52-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,3,"Herod zaczerwienił się strasznie","zdanie","zaczerwienił","praet:sg:m1:perf","formaczas",4,4,9,32,"cisza straszna zawisła nad głowami zebranych","zdanie","zawisła","praet:sg:f:perf","formaczas",6,6,14,44,"Herod zaczerwienił się strasznie, pielęgniara strasznie przygryzła wargi, cisza straszna zawisła nad głowami zebranych.","NKJP_1M_2002000202/morph_2-p/morph_2.65-s",
"L","Ale","conj","spójnik","wypowiedzenie",",","interp","zdanie","wypowiedzenie","wypowiedzenie",2,"wiesz co","zdanie","wiesz","fin:sg:sec:imperf","formaczas",2,2,2,8,"mam pomysł","zdanie","mam","fin:sg:pri:imperf","formaczas",2,2,3,10,"Ale wiesz co, mam pomysł...","NKJP_1M_6203010001276/morph_2-p/morph_2.22-s",
"R","są","fin:pl:ter:imperf","formaczas","fwe",",","interp","fno","fw","zdanie",2,"media","fno","media","subst:pl:nom:n","formarzecz",1,1,2,5,"media publiczne, media prywatne,","fno","media","subst:pl:nom:n","formarzecz",4,6,10,32,"- Czyli pan stawia taką tezę, że w Polsce media, media publiczne, media prywatne, są z zasady apolityczne.","NKJP_1M_7121900005/morph_12-p/morph_12.60-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"To stara blizna","zdanie","To","pred","formaczas",3,3,5,15,"nie czuje jej wcale","zdanie","czuje","fin:sg:ter:imperf","formaczas",4,4,6,19,"To stara blizna, nie czuje jej wcale.","NKJP_1M_2002000000212/morph_9-p/morph_9.22-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"Ponownie odczuł wyrzuty sumienia","zdanie","odczuł","praet:sg:m1:perf","formaczas",4,4,11,32,"nie było jednak czasu na rozmyślania","zdanie","było","praet:sg:n:imperf","formaczas",6,6,12,36,"Ponownie odczuł wyrzuty sumienia, nie było jednak czasu na rozmyślania.","NKJP_1M_2002000000212/morph_1-p/morph_1.72-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"W naszej drużynie nie ma gwiazd","zdanie","ma","fin:sg:ter:imperf","formaczas",6,6,9,31,"potrzebni są ludzie nieprawdopodobnie zaangażowani w grę","zdanie","są","fin:pl:ter:imperf","formaczas",7,7,20,56,"- W naszej drużynie nie ma gwiazd, potrzebni są ludzie nieprawdopodobnie zaangażowani w grę.","NKJP_1M_1305000001665/morph_1-p/morph_1.51-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"Yennefer opuściła głowę","zdanie","opuściła","praet:sg:f:perf","formaczas",3,3,8,23,"spojrzała między swoje uda, nad którymi przemykały złote rybki","zdanie","spojrzała","praet:sg:f:perf","formaczas",9,10,20,62,"Yennefer opuściła głowę, spojrzała między swoje uda, nad którymi przemykały złote rybki.","NKJP_1M_2002000169/morph_3-p/morph_3.22-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"Masz","zdanie","Masz","fin:sg:sec:imperf","formaczas",1,1,1,4,"bierz","zdanie","bierz","impt:sg:sec:imperf","formaczas",1,1,1,5,"- Masz, bierz.","NKJP_1M_2002000169/morph_10-p/morph_10.73-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"W tych pierwszych związkach nastolatki doświadczają smaku ludzkiej miłości","zdanie","doświadczają","fin:pl:ter:imperf","formaczas",9,9,21,74,"odkrywają siłę fascynacji i wzajemnego przyciągania siebie","zdanie","odkrywają","fin:pl:ter:imperf","formaczas",7,7,21,58,"W tych pierwszych związkach nastolatki doświadczają smaku ludzkiej miłości, odkrywają siłę fascynacji i wzajemnego przyciągania siebie.","NKJP_1M_3301000001/morph_7-p/morph_7.39-s",
